文件,配方ID,ActionId,缺失字段,严重程度
acquisition.json,auctionbidmatched.grailapostlepillar3,未知,label,严重
acquisition.json,auctionfailureclear,未知,label,严重
culting.json,edge_exalt_obtained,未知,label,严重
culting.json,forge_exalt_obtained,未知,label,严重
culting.json,grail_exalt_obtained,未知,label,严重
culting.json,heart_exalt_obtained,未知,label,严重
culting.json,knock_exalt_obtained,未知,label,严重
culting.json,lantern_exalt_obtained,未知,label,严重
culting.json,moth_exalt_obtained,未知,label,严重
culting.json,winter_exalt_obtained,未知,label,严重
DLC_EXILE_exile_recipes.json,_cities,未知,label,严重
DLC_EXILE_exile_recipes.json,_domiciles,未知,label,严重
DLC_EXILE_exile_recipes.json,opx.caper.end,未知,label,严重
DLC_EXILE_exile_recipes.json,travel.depart.purge,未知,label,严重
DLC_EXILE_exile_recipes.json,turn.check.traces,未知,label,严重
DLC_EXILE_exile_recipes.json,turn.check.trace,未知,label,严重
DLC_EXILE_exile_recipes.json,turn.check.no.trace,未知,label,严重
DLC_EXILE_exile_recipes.json,turn.check.mapedge.traces,未知,label,严重
DLC_EXILE_exile_recipes.json,turn.check.mapedge.trace,未知,label,严重
DLC_EXILE_exile_recipes.json,turn.check.mapedge.no.trace,未知,label,严重
DLC_EXILE_exile_rkx_foe.json,spit.foe.attack.failure.associate.killed.undo.wound,未知,label,严重
dream_general.json,nightmarecleansingdawnsuccess,未知,label,严重
explore_secrethistories.json,explorefindvault_h_floating,未知,label,严重
explore_vaultentry.json,explorevault.add.watchers,未知,label,严重
explore_vaultentry.json,explorevault.add.monks,未知,label,严重
explore_vaultentry.json,explorevault.add.dead,未知,label,严重
explore_vaultentry.json,explorevault.add.serpent,未知,label,严重
haunting.json,summoning_haunt_devourer,未知,label,严重
haunting.json,summoning_haunt_deceiver,未知,label,严重
hunting.json,suspiciontrial,未知,label,严重
hunting.json,scapegoat,未知,label,严重
long_recipes.json,long.refinestrategy.assault.assassination,未知,label,严重
long_recipes.json,long.refinestrategy.assault.forge.greatwork,未知,label,严重
long_recipes.json,long.refinestrategy.assault.destroyhealth,未知,label,严重
long_recipes.json,long.refinestrategy.assault.abduct.follower,未知,label,严重
long_recipes.json,long.refinestrategy.assault.setambush.expedition,未知,label,严重
long_recipes.json,long.refinestrategy.assault.injurefollower,未知,label,严重
long_recipes.json,long.refinestrategy.assault.injurehealth,未知,label,严重
long_recipes.json,long.refinestrategy.assault.rob,未知,label,严重
long_recipes.json,long.refinestrategy.assault.intimidate,未知,label,严重
long_recipes.json,long.refinestrategy.intrigue.scandal,未知,label,严重
long_recipes.json,long.refinestrategy.intrigue.follower.seduce,未知,label,严重
long_recipes.json,long.refinestrategy.intrigue.grail.greatwork,未知,label,严重
long_recipes.json,long.refinestrategy.intrigue.poison.follower.resentment,未知,label,严重
long_recipes.json,long.refinestrategy.intrigue.detective.assist,未知,label,严重
long_recipes.json,long.refinestrategy.intrigue.adversary.assist,未知,label,严重
long_recipes.json,long.refinestrategy.intrigue.poison.follower.notoriety,未知,label,严重
long_recipes.json,long.refinestrategy.intrigue.mystiquetonotoriety,未知,label,严重
long_recipes.json,long.refinestrategy.intrigue.fraud,未知,label,严重
